11.2.2	2017	232	17	4037	35	20	160.9622868				
11.2.2	2017	250	18	4036	35	15.5	129.6748465				
11.2.2	2017	263	13	4036	35	7.5	88.42595237				
11.2.2	2017	273	10	4037	35	5	58.02937429				
11.2.2	2017	297	24	4036	35	10	101.4173382				
11.3.2	2017	184	14	4044	30	21	114.1491651				
11.3.2	2017	201	17	4044	30	22	150.8224085				
11.3.2	2017	215	14	4043	30	19	126.0936718				
11.3.2	2017	232	17	4044	30	24.5	160.5020079				
11.3.2	2017	250	18	4043	30	21.2	129.1351276				
11.3.2	2017	263	13	4043	30	9.3	88.00875986				
11.3.2	2017	273	10	4043	30	9	57.74723308				
11.3.2	2017	297	24	4043	30	9	100.6279104				
11.4.2	2017	215	14	4051	39	15	125.6942866				
11.4.2	2017	232	17	4051	39	22.5	160.041729				
11.4.2	2017	250	18	4050	39	14.5	128.5954087				
11.4.2	2017	263	13	4050	39	10	87.59156734				
11.4.2	2017	273	10	4050	39	6	57.41806833				
11.4.2	2017	297	24	4050	39	17	99.84120491				
4.1.2	2017	184	14	4145	14	32	107.7835568				
4.1.2	2017	201	17	4145	14	37	144.1398629				
4.1.2	2017	215	14	4144	14	27	121.0514341				
4.1.2	2017	232	17	4144	14	35	153.9265952				
4.1.2	2017	248	16	4144	14	28	109.5085415				
4.1.2	2017	262	14	4144	14	14.8	87.04916983				
4.1.2	2017	274	12	4144	14	11	66.48427021				
4.1.2	2017	297	23	4144	14	15.5	82.84275084				
4.2.2	2017	184	14	4148	16	30	107.5945879				
4.2.2	2017	199	15	4147	16	32	127.8933919				
4.2.2	2017	215	16	4147	16	27	137.015808				
4.2.2	2017	232	17	4147	16	28	153.7293329				
4.2.2	2017	248	16	4146	16	17	109.3756553				
4.2.2	2017	297	49	4146	16	26	235.92773				
4.3.2	2017	170	14	4159	25	20	85.42517957				
4.3.2	2017	184	14	4155	25	27	107.1550035				
4.3.3	2017	215	14	4158	35	18	120.3525101				
4.3.3	2017	232	17	4158	35	21.5	153.0060375				
4.3.3	2017	248	16	4157	35	15.5	108.6447812				
4.3.3	2017	262	14	4157	35	14	86.19453452				
4.3.3	2017	297	35	4157	35	14	147.2710848				
4.4.2	2017	215	14	4135	26	19	121.5007424				
4.4.2	2017	232	17	4135	26	26.7	154.5183824				
4.4.2	2017	248	16	4134	26	18.3	110.1729725				
4.4.2	2017	262	14	4134	26	12	87.70658161				
4.4.2	2017	274	12	4134	26	9	67.05221903				
4.4.2	2017	297	23	4134	26	12	83.86148957				
4.5.1	2017	170	26	4124	56	9	114.8592186				
4.5.1	2017	184	14	4123	56	8	109.169634				
4.5.2	2017	215	14	4122	55	12	122.1497433				
4.5.2	2017	232	17	4122	55	14.5	155.373186				
4.5.2	2017	248	16	4121	55	8.5	111.0367328				
4.5.2	2017	262	14	4121	55	6	88.56121692				
4.5.2	2017	274	12	4121	55	6	67.79055249				
4.5.2	2017	297	23	4121	55	8	85.19414457				
5.1.3	2017	168	22	4268	6	61	90.45055462				
5.1.4	2017	246	47	4264	6.5	144.5	366.580149				
5.1.4	2017	280	34	4263	6.5	72.5	183.6843097				
5.3.2	2017	180	14	4279	65	10	94.57988935				
5.3.2	2017	199	19	4279	65	15	150.7970581				
5.3.2	2017	216	17	4280	65	13.5	138.7617699				
5.3.2	2017	230	14	4280	65	11.5	120.8034925				
5.3.2	2017	262	32	4279	65	14	193.519824				
5.3.2	2017	280	18	4279	65	9	91.73390052				
5.4.1	2017	168	22	4274	39	9	90.02224986				
5.4.1	2017	180	12	4274	39	9	81.75139603				
5.4.1	2017	199	19	4274	39	21.5	151.1728833				
5.4.1	2017	216	17	4272	39	17	139.2528711				
5.4.1	2017	230	14	4272	39	17	121.2379049				
5.4.1	2017	246	16	4272	39	8	104.6621671				
5.4.1	2017	262	16	4271	39	9	89.91189693				
5.4.1	2017	280	18	4274	39	10	92.1784495				
5.5.2	2017	180	14	4262	31	21	95.65758713				
5.5.2	2017	199	19	4262	31	36	152.0748638				
5.5.2	2017	216	17	4263	31	22	139.8053599				
5.5.2	2017	230	14	4263	31	21	121.7266189				
5.5.2	2017	246	16	4262	31	19	105.2892825				
5.5.2	2017	262	16	4262	31	10.5	90.60406351				
5.5.2	2017	280	18	4262	31	12.8	93.24628233				
6.1.1	2017	168	12	4321	44	12	62.565845				
6.1.2	2017	218	19	4318	17.5	46.5	154.6075				
6.1.2	2017	230	12	4318	17.5	29	100.5615731				
6.1.2	2017	248	18	4317	17.5	21	112.5450029				
6.1.2	2017	261	13	4317	17.5	12	69.43997318				
6.1.2	2017	279	18	4317	17.5	25.5	89.86680483				
6.2.3	2017	199	33	4319	12.5	77	239.844044				
6.2.3	2017	218	19	4319	12.5	38	154.5385975				
6.2.3	2017	230	12	4319	12.5	24	100.5147864				
6.2.3	2017	248	18	4318	12.5	25	112.4713433				
6.2.3	2017	261	13	4318	12.5	16	69.379023				
6.2.3	2017	279	18	4319	12.5	20	89.69055122				
6.3.2	2017	168	12	4317	11	40	62.78925724				
6.3.3	2017	218	19	4315	9	51	154.8142073				
6.3.3	2017	230	12	4315	9	26	100.7019333				
6.3.3	2017	248	18	4314	9	41.5	112.7659815				
6.3.3	2017	261	13	4314	9	22.5	69.62282371				
6.3.3	2017	279	18	4314	9	21	90.13118524				
6.4.1	2017	168	12	4336	32	25	61.7280491				
6.4.1	2017	199	31	4336	32	35.5	224.8910295				
6.4.1	2017	218	19	4333	32	23	153.5739631				
6.4.1	2017	230	12	4333	32	16	99.85977204				
6.4.1	2017	248	18	4331	32	19	111.5137695				
6.4.1	2017	261	13	4332	32	9	68.52572052				
6.5.3	2017	199	33	4326	20	47	238.8757859				
6.5.3	2017	218	19	4326	20	31.5	154.0562803				
6.5.3	2017	230	12	4326	20	19.5	100.1872792				
6.5.3	2017	248	18	4326	20	20	111.8820671				
6.5.3	2017	261	13	4325	20	6	68.95237176				
7.1.0	2017	296	18	4479	13	10	35.35208301				
7.3.1	2017	183	16	4475	8.6	34.6	97.280021				
7.3.1	2017	198	15	4476	8.6	33	109.5669174				
7.3.1	2017	217	19	4476	8.6	27	141.2822889				
7.3.1	2017	230	13	4476	8.6	21	101.7727395				
7.3.1	2017	247	17	4475	8.6	23.7	96.17671604				
7.3.1	2017	261	14	4475	8.6	11.3	64.60800695				
7.3.1	2017	279	18	4475	8.6	8.5	76.07035172				
7.3.1	2017	296	17	4475	8.6	3.5	30.86003981				
7.4.2	2017	183	16	4474	3.8	57.8	97.351137				
7.4.2	2017	198	15	4474	3.8	57	109.6860442				
7.4.2	2017	217	19	4475	3.8	61.5	141.3507487				
7.4.2	2017	230	13	4473	3.8	34	101.9241869				
7.4.2	2017	247	17	4473	3.8	38	96.31176881				
7.4.2	2017	261	14	4472	3.8	23	64.8068758				
7.4.2	2017	279	18	4473	3.8	24	76.24152056				
7.4.3	2017	296	18	4472	7	18	35.73868025				
7.5.1	2017	183	16	4489	5	31	96.28439704				
7.5.1	2017	198	15	4489	5	37	108.7925932				
7.5.2	2017	217	19	4488	5.5	59	140.4607708				
7.5.2	2017	230	13	4486	5.5	27	101.2679148				
7.5.2	2017	247	17	4486	5.5	27	95.43602002				
7.5.2	2017	261	14	4485	5.5	22	63.94511079				
7.5.2	2017	279	18	4485	5.5	10	75.21672897				
7.8.1	2017	183	16	4593	14	24	88.88833338				
7.8.1	2017	198	15	4590	14	26	102.7766896				
7.8.1	2017	217	19	4591	14	30	133.4094078				
7.8.1	2017	230	13	4589	14	18	96.06822019				
7.8.1	2017	247	17	4589	14	23	88.50346445				
7.8.1	2017	261	14	4588	14	8	57.19549953				
7.8.1	2017	279	18	4589	14	9	66.44283185				
8.1.1	2017	168	14	4372	15	16	74.40737474				
8.1.2	2017	231	13	4369	12.5	29	105.0362107				
8.1.2	2017	248	17	4369	12.5	26.5	101.8597322				
8.1.2	2017	261	13	4369	12.5	14	66.27102309				
8.1.2	2017	279	18	4369	12.5	21	85.28935459				
8.2.1	2017	168	14	4378	9	26	74.01196858				
8.2.2	2017	218	19	4375	18.7	41	150.6800599				
8.2.2	2017	231	13	4375	18.7	23.5	104.7320912				
8.2.2	2017	248	17	4375	18.7	24.5	101.4424498				
8.2.2	2017	279	31	4375	18.7	22.8	150.668341				
