Date,"30.8,79.3","30.8,79.4","30.8,79.5","30.7,79.3","30.7,79.4","30.7,79.5","30.6,79.3","30.6,79.4","30.6,79.5"
2017-01-01 00:00:00,-18.978893268259156,-16.172705472092446,-13.830500067248295,-16.303679480453752,-15.306047672084674,-11.531488218353047,-11.42002097719444,-10.264941690688886,-7.73881533793309
2017-01-01 01:00:00,-19.43869563803821,-16.401213316467533,-13.834680088791742,-17.187057366635344,-15.750523296204449,-11.45764117108547,-12.43994623379524,-10.901698305807145,-7.563254433108398
2017-01-01 02:00:00,-19.456809064726457,-16.448586893959884,-13.936393946348915,-17.44482536181451,-15.822977002957487,-11.562141709671607,-12.7060742720613,-10.823671236996177,-7.542354325391159
2017-01-01 03:00:00,-18.174935791403044,-15.10819331902826,-12.487319811287648,-16.086318360194582,-14.31677590680249,-10.147901087472405,-11.010378865936786,-9.513931153383112,-7.514487515101507
2017-01-01 04:00:00,-16.68963480296526,-13.918280519660641,-11.169219684587688,-14.13006827786188,-12.373065889100133,-8.774067340193199,-7.951996436648869,-7.037965059148689,-3.926635690310434
2017-01-01 05:00:00,-16.20196562289658,-13.172843344412797,-10.414029125738466,-13.195136792644519,-11.694509058547396,-7.88232941092474,-6.5377558144496675,-5.574957518942597,-2.7102494211677026
2017-01-01 06:00:00,-15.98460450263741,-12.728367720293022,-9.855299579431232,-12.78131465984336,-11.16503966304424,-6.689629930528156,-6.068200061069206,-5.10958178710564,-1.9982524182673842
2017-01-01 07:00:00,-15.901004071768455,-12.480353108715235,-9.573844795505863,-12.395359337331854,-10.674583801946596,-6.186634004800169,-5.724044953992177,-4.398978124719804,-1.546810091575253
2017-01-01 08:00:00,-15.807650257298178,-12.481746449229718,-9.760552424446416,-12.356345802926342,-10.694090569149353,-6.30924797007458,-5.613971053348109,-4.369717973915726,-1.563530177749044
2017-01-01 09:00:00,-15.601435861154869,-12.416259445049093,-9.831612790685028,-12.189144941188488,-10.648110332171427,-7.060258507380411,-5.600037648203283,-4.552245581312832,-1.8923585391667643
2017-01-01 10:00:00,-15.579142412923147,-12.402326039904267,-9.674165312548553,-12.21143838942021,-10.588196690048733,-7.047718442750067,-5.576350859457079,-4.467251809929451,-1.822691513442635
2017-01-01 11:00:00,-15.896824050225007,-12.639193927366193,-10.02250044116903,-12.823114875277781,-11.004805503878856,-7.430887084232609,-6.383095017342157,-5.1583487051124735,-2.332654141743035
2017-01-01 12:00:00,-16.71750161325491,-13.458478149881557,-10.816704534423764,-13.829106726733812,-11.817123023821807,-8.332378397102445,-7.464327256580134,-6.123933681648509,-3.1282515755122517
2017-01-01 13:00:00,-17.59948615892199,-14.42266978590311,-11.647135481055045,-14.825345194588408,-12.699107569488888,-9.13076251190057,-8.278038117037624,-7.018458291945933,-3.967042565230429
2017-01-01 14:00:00,-18.733665337710306,-15.340881184946738,-12.46641970357041,-16.16991879106348,-13.76919308461106,-10.035040505799373,-9.685312036664413,-8.257138009320386,-4.952134308969164
2017-01-01 15:00:00,-19.435908957009246,-16.01525799395597,-13.080882870456946,-16.640867884958425,-14.726418018060201,-10.714990676866591,-10.476729448890183,-9.192069494537805,-5.744945061709416
2017-01-01 16:00:00,-20.257979860553604,-16.841508919043804,-13.904347114515815,-17.49777230136482,-15.882890645080238,-11.553781666584712,-11.858923239256285,-10.04479388940075,-6.578162689369606
2017-01-01 17:00:00,-20.65368856666646,-17.287377883678033,-14.446356574649315,-17.97568809783212,-16.438833510358506,-12.126444618036828,-12.554200155982812,-10.574263284903907,-7.195412537285108
2017-01-01 18:00:00,-21.038250548663484,-17.664973163102644,-14.851818664363577,-18.49679745024838,-16.925109349912702,-12.5472334534104,-13.301030671745139,-11.002018822849891,-7.646854863977296
2017-01-01 19:00:00,-19.983491779200648,-16.906995923224486,-14.892225539283515,-17.44621870232899,-16.23958581678761,-12.856555047625363,-11.977357182987248,-10.859898090372724,-8.404832103855483
2017-01-01 20:00:00,-19.714577059905622,-16.77741525537766,-14.85321200487806,-17.26508443544634,-16.183852196208306,-12.834261599393642,-12.256025285883652,-10.784657702590664,-8.385325336652727
2017-01-01 21:00:00,-19.87899124061451,-16.92371600939822,-15.017626185586892,-17.44482536181451,-16.32457958817099,-13.005642482674943,-12.513793281062817,-10.992265439248513,-8.577606327651267
