2.2.4	2017	232	17	3933	24	31	168.7657168	1.823529412	1.686151651	0.806080361	1.714880689	1.681858119	6
2.2.4	2017	250	18	3932	24	23	136.7616771	1.277777778	1.290485823	0.6169286598	1.312473417	1.287199795	7
2.2.4	2017	263	13	3932	24	10	90.21451388	0.7692307692	1.178675852	0.5634768711	1.198758402	1.175674531	8
2.2.4	2017	273	10	3931	24	8	67.9722528	0.8	1.15449748	0.5519181768	1.174168072	1.151557725	9
2.2.4	2017	298	25	3931	24	9	115.7274566	0.36	0.7862446894	0.3758715313	0.7996409065	0.7842426351	10
2.3.2	2017	298	25	3941	62.5	8	114.5326411	0.32	0.4859917928	0.1428445005	0.3785451998	0.4264822447	10
2.4.2	2017	170	13	3950	10	42	86.50636606	3.230769231	1.73840133	1.296758166	1.904951377	1.866900381	2
2.4.2	2017	184	14	3951	10	21	124.3850581	1.5	2.321055402	1.731388198	2.543427462	2.492623044	3
2.4.2	2017	202	18	3951	10	36	165.9922756	2	2.409132591	1.79708926	2.639943014	2.587210718	4
2.4.2	2017	215	13	3950	10	19	120.9628336	1.461538462	2.430826312	1.813271663	2.663715133	2.610507994	5
2.4.2	2017	232	17	3950	10	41	167.6478966	2.411764706	2.576288629	1.921779085	2.823113677	2.766722587	6
2.4.2	2017	250	18	3949	10	26	135.4509312	1.444444444	1.965870108	1.466438199	2.15421313	2.111183184	7
2.4.2	2017	263	13	3949	10	12	89.20133205	0.9230769231	1.792558413	1.33715657	1.964297057	1.925060645	8
2.4.2	2017	273	10	3950	10	12	67.06385832	1.2	1.751999044	1.306901363	1.919851839	1.881503211	9
2.4.2	2017	298	25	3950	10	17	113.4612965	0.68	1.1856406	0.8844270324	1.299232608	1.273280715	10
2.5.1	2017	170	13	3947	55	7	86.68812475	0.5384615385	0.7532840624	0.2362695976	0.613318931	0.6730295699	2
2.5.1	2017	184	14	3946	55	3	124.7011047	0.2142857143	1.006201101	0.3155977154	0.8192423207	0.8990009584	3
2.5.1	2017	202	18	3946	55	5	166.3420112	0.2777777778	1.043931412	0.3274319305	0.8499620925	0.9327115024	4
2.5.2	2017	298	25	3945	67.5	8.5	114.0564879	0.34	0.465996004	0.1317135599	0.3530524888	0.4045109398	10
3.1.3	2017	170	28	3986	11	72	121.7771697	2.571428571	1.084168224	0.770494308	1.189223291	1.160356215	2
3.1.4	2017	215	13	3979	19	30	119.624778	2.307692308	1.753214076	0.9437967264	1.851845819	1.796071838	5
3.1.4	2017	232	17	3979	19	34.9	165.741027	2.052941176	1.857540368	0.999958044	1.962041265	1.902948412	6
3.1.4	2017	250	18	3978	19	26.1	133.2149528	1.45	1.410060109	0.7590688057	1.489386808	1.444529385	7
3.1.4	2017	263	13	3978	19	13	87.47296305	1	1.281998869	0.6901304024	1.354121141	1.313337656	8
3.1.4	2017	273	10	3978	19	10	65.72882091	1	1.252313314	0.6741499642	1.322765546	1.28292643	9
3.1.4	2017	298	25	3979	19	16	110.0286886	0.64	0.838538649	0.4514052463	0.8857128814	0.8590369384	10
3.2.3	2017	170	13	4007	46	14	83.05295097	1.076923077	0.7879878385	0.2706500796	0.6798903669	0.7217487375	2
3.2.3	2017	184	14	4008	46	18	120.7821264	1.285714286	1.064099979	0.3654862803	0.9181249884	0.9746505959	3
3.2.3	2017	202	18	4008	46	20	162.0052899	1.111111111	1.110106101	0.3812879971	0.957819915	1.016789394	4
3.2.3	2017	215	13	4007	46	18	118.3328623	1.384615385	1.122715753	0.3856190325	0.9686997539	1.028339065	5
3.3.2	2017	215	13	3995	40	15	118.8865405	1.153846154	1.208224712	0.4455368408	1.087056642	1.128047306	5
3.3.2	2017	232	17	3995	40	20	164.6889609	1.176470588	1.279893828	0.4719650634	1.151538346	1.194960483	6
3.3.2	2017	250	18	3994	40	14	131.9813095	0.7777777778	0.968720086	0.3572187214	0.871570986	0.9044361306	7
3.3.2	2017	263	13	3994	40	7.5	86.51938016	0.5769230769	0.8792824884	0.3242383128	0.7911027307	0.8209335833	8
3.3.2	2017	273	10	3994	40	5.5	64.9659424	0.55	0.8583098955	0.3165046001	0.772233396	0.801352725	9
3.3.2	2017	298	25	3995	40	17	108.1429212	0.68	0.5715003028	0.2107426185	0.5141868013	0.5335757253	10
3.4.2	2017	215	13	3989	34	17	119.1633795	1.307692308	1.311803807	0.5253815496	1.233898523	1.251767028	5
3.4.2	2017	232	17	3989	34	21	165.0834857	1.235294118	1.389709854	0.5565831662	1.307177892	1.326107581	6
