11.2.2	2017	297	24	4036	35	10	100.8944128
11.3.2	2017	184	14	4044	30	21	118.5065906
11.3.2	2017	201	17	4044	30	22	150.778378
11.3.2	2017	215	14	4043	30	19	125.3844268
11.3.2	2017	232	17	4044	30	24.5	161.4670088
11.3.2	2017	250	18	4043	30	21.2	128.2032771
11.3.2	2017	263	13	4043	30	9.3	83.59903254
11.3.2	2017	273	10	4043	30	9	62.63330349
11.3.2	2017	297	24	4043	30	9	100.1213793
11.4.2	2017	215	14	4051	39	15	124.9850416
11.4.2	2017	232	17	4051	39	22.5	161.0067299
11.4.2	2017	250	18	4050	39	14.5	127.6635582
11.4.2	2017	263	13	4050	39	10	83.18184003
11.4.2	2017	273	10	4050	39	6	62.30107579
11.4.2	2017	297	24	4050	39	17	99.34894387
4.1.2	2017	184	14	4145	14	32	112.1224485
4.1.2	2017	201	17	4145	14	37	144.0958324
4.1.2	2017	215	14	4144	14	27	120.3421891
4.1.2	2017	232	17	4144	14	35	154.8915961
4.1.2	2017	248	16	4144	14	28	108.7339535
4.1.2	2017	262	14	4144	14	14.8	83.16516178
4.1.2	2017	274	12	4144	14	11	70.49761568
4.1.2	2017	297	23	4144	14	15.5	82.6963267
4.2.2	2017	184	14	4148	16	30	111.9328206
4.2.2	2017	199	15	4147	16	32	127.9523033
4.2.2	2017	215	16	4147	16	27	136.2036211
4.2.2	2017	232	17	4147	16	28	154.6943337
4.2.2	2017	248	16	4146	16	17	108.6010673
4.2.2	2017	297	49	4146	16	26	235.9157077
4.3.2	2017	170	14	4159	25	20	81.25909757
4.3.2	2017	184	14	4155	25	27	111.4903553
4.3.3	2017	215	14	4158	35	18	119.643265
4.3.3	2017	232	17	4158	35	21.5	153.9710384
4.3.3	2017	248	16	4157	35	15.5	107.8707745
4.3.3	2017	262	14	4157	35	14	82.31052647
4.3.3	2017	297	35	4157	35	14	151.1747906
4.4.2	2017	215	14	4135	26	19	120.7914974
4.4.2	2017	232	17	4135	26	26.7	155.4833833
4.4.2	2017	248	16	4134	26	18.3	109.3983845
4.4.2	2017	262	14	4134	26	12	83.82257356
4.4.2	2017	274	12	4134	26	9	71.07440298
4.4.2	2017	297	23	4134	26	12	83.68296197
4.5.1	2017	170	26	4124	56	9	110.6714994
4.5.1	2017	184	14	4123	56	8	113.5130537
4.5.2	2017	215	14	4122	55	12	121.4404983
4.5.2	2017	232	17	4122	55	14.5	156.3381869
4.5.2	2017	248	16	4121	55	8.5	110.2621448
4.5.2	2017	262	14	4121	55	6	84.67720887
4.5.2	2017	274	12	4121	55	6	71.82422647
4.5.2	2017	297	23	4121	55	8	84.98098058
5.1.3	2017	168	22	4268	6	61	83.99356006
5.1.4	2017	246	47	4264	6.5	144.5	366.1189138
5.1.4	2017	280	34	4263	6.5	72.5	182.9374163
5.3.2	2017	180	14	4279	65	10	98.24493979
5.3.2	2017	199	19	4279	65	15	151.2207824
5.3.2	2017	216	17	4280	65	13.5	137.6577984
5.3.2	2017	230	14	4280	65	11.5	121.0768692
5.3.2	2017	262	32	4279	65	14	189.8495411
5.3.2	2017	280	18	4279	65	9	95.01508537
5.4.1	2017	168	22	4274	39	9	83.57386543
5.4.1	2017	180	12	4274	39	9	88.01901929
5.4.1	2017	199	19	4274	39	21.5	151.5966076
5.4.1	2017	216	17	4272	39	17	138.1488996
5.4.1	2017	230	14	4272	39	17	121.5112816
5.4.1	2017	246	16	4272	39	8	105.0315267
5.4.1	2017	262	16	4271	39	9	85.87062635
5.4.1	2017	280	18	4274	39	10	95.46363346
5.5.2	2017	180	14	4262	31	21	99.33780244
5.5.2	2017	199	19	4262	31	36	152.498588
5.5.2	2017	216	17	4263	31	22	138.7013884
