4.1.2	2017	232	17	4144	14	35	6
4.1.2	2017	248	16	4144	14	28	7
4.1.2	2017	262	14	4144	14	14.8	8
4.1.2	2017	274	12	4144	14	11	9
4.1.2	2017	297	23	4144	14	15.5	10
4.2.2	2017	184	14	4148	16	30	3
4.2.2	2017	199	15	4147	16	32	4
4.2.2	2017	215	16	4147	16	27	5
4.2.2	2017	232	17	4147	16	28	6
4.2.2	2017	248	16	4146	16	17	7
4.2.2	2017	297	49	4146	16	26	10
4.3.2	2017	170	14	4159	25	20	2
4.3.2	2017	184	14	4155	25	27	3
4.3.3	2017	215	14	4158	35	18	5
4.3.3	2017	232	17	4158	35	21.5	6
4.3.3	2017	248	16	4157	35	15.5	7
4.3.3	2017	262	14	4157	35	14	8
4.3.3	2017	297	35	4157	35	14	10
4.4.2	2017	215	14	4135	26	19	5
4.4.2	2017	232	17	4135	26	26.7	6
4.4.2	2017	248	16	4134	26	18.3	7
4.4.2	2017	262	14	4134	26	12	8
4.4.2	2017	274	12	4134	26	9	9
4.4.2	2017	297	23	4134	26	12	10
4.5.1	2017	170	26	4124	56	9	2
4.5.1	2017	184	14	4123	56	8	3
4.5.2	2017	215	14	4122	55	12	5
4.5.2	2017	232	17	4122	55	14.5	6
4.5.2	2017	248	16	4121	55	8.5	7
4.5.2	2017	262	14	4121	55	6	8
4.5.2	2017	274	12	4121	55	6	9
4.5.2	2017	297	23	4121	55	8	10
5.1.3	2017	168	22	4268	6	61	2
5.1.4	2017	246	47	4264	6.5	144.5	7
5.1.4	2017	280	34	4263	6.5	72.5	9
5.3.2	2017	180	14	4279	65	10	3
5.3.2	2017	199	19	4279	65	15	4
5.3.2	2017	216	17	4280	65	13.5	5
5.3.2	2017	230	14	4280	65	11.5	6
5.3.2	2017	262	32	4279	65	14	8
5.3.2	2017	280	18	4279	65	9	9
5.4.1	2017	168	22	4274	39	9	2
5.4.1	2017	180	12	4274	39	9	3
5.4.1	2017	199	19	4274	39	21.5	4
5.4.1	2017	216	17	4272	39	17	5
5.4.1	2017	230	14	4272	39	17	6
5.4.1	2017	246	16	4272	39	8	7
5.4.1	2017	262	16	4271	39	9	8
5.4.1	2017	280	18	4274	39	10	9
5.5.2	2017	180	14	4262	31	21	3
5.5.2	2017	199	19	4262	31	36	4
5.5.2	2017	216	17	4263	31	22	5
5.5.2	2017	230	14	4263	31	21	6
5.5.2	2017	246	16	4262	31	19	7
5.5.2	2017	262	16	4262	31	10.5	8
5.5.2	2017	280	18	4262	31	12.8	9
6.1.1	2017	168	12	4321	44	12	2
6.1.2	2017	218	19	4318	17.5	46.5	5
6.1.2	2017	230	12	4318	17.5	29	6
6.1.2	2017	248	18	4317	17.5	21	7
6.1.2	2017	261	13	4317	17.5	12	8
6.1.2	2017	279	18	4317	17.5	25.5	9
6.2.3	2017	199	33	4319	12.5	77	4
6.2.3	2017	218	19	4319	12.5	38	5
6.2.3	2017	230	12	4319	12.5	24	6
6.2.3	2017	248	18	4318	12.5	25	7
6.2.3	2017	261	13	4318	12.5	16	8
6.2.3	2017	279	18	4319	12.5	20	9
6.3.2	2017	168	12	4317	11	40	2
6.3.3	2017	218	19	4315	9	51	5
6.3.3	2017	230	12	4315	9	26	6
6.3.3	2017	248	18	4314	9	41.5	7
6.3.3	2017	261	13	4314	9	22.5	8
6.3.3	2017	279	18	4314	9	21	9
6.4.1	2017	168	12	4336	32	25	2
6.4.1	2017	199	31	4336	32	35.5	4
6.4.1	2017	218	19	4333	32	23	5
6.4.1	2017	230	12	4333	32	16	6
6.4.1	2017	248	18	4331	32	19	7
6.4.1	2017	261	13	4332	32	9	8
6.5.3	2017	199	33	4326	20	47	4
6.5.3	2017	218	19	4326	20	31.5	5
6.5.3	2017	230	12	4326	20	19.5	6
6.5.3	2017	248	18	4326	20	20	7
6.5.3	2017	261	13	4325	20	6	8
7.1.0	2017	296	18	4479	13	10	10
7.3.1	2017	183	16	4475	8.6	34.6	3
7.3.1	2017	198	15	4476	8.6	33	4
7.3.1	2017	217	19	4476	8.6	27	5
7.3.1	2017	230	13	4476	8.6	21	6
7.3.1	2017	247	17	4475	8.6	23.7	7
7.3.1	2017	261	14	4475	8.6	11.3	8
7.3.1	2017	279	18	4475	8.6	8.5	9
7.3.1	2017	296	17	4475	8.6	3.5	10
7.4.2	2017	183	16	4474	3.8	57.8	3
7.4.2	2017	198	15	4474	3.8	57	4
7.4.2	2017	217	19	4475	3.8	61.5	5
7.4.2	2017	230	13	4473	3.8	34	6
7.4.2	2017	247	17	4473	3.8	38	7
7.4.2	2017	261	14	4472	3.8	23	8
7.4.2	2017	279	18	4473	3.8	24	9
7.4.3	2017	296	18	4472	7	18	10
7.5.1	2017	183	16	4489	5	31	3
7.5.1	2017	198	15	4489	5	37	4
7.5.2	2017	217	19	4488	5.5	59	5
7.5.2	2017	230	13	4486	5.5	27	6
7.5.2	2017	247	17	4486	5.5	27	7
7.5.2	2017	261	14	4485	5.5	22	8
7.5.2	2017	279	18	4485	5.5	10	9
7.8.1	2017	183	16	4593	14	24	3
7.8.1	2017	198	15	4590	14	26	4
7.8.1	2017	217	19	4591	14	30	5
7.8.1	2017	230	13	4589	14	18	6
7.8.1	2017	247	17	4589	14	23	7
7.8.1	2017	261	14	4588	14	8	8
7.8.1	2017	279	18	4589	14	9	9
8.1.1	2017	168	14	4372	15	16	2
8.1.2	2017	231	13	4369	12.5	29	6
8.1.2	2017	248	17	4369	12.5	26.5	7
8.1.2	2017	261	13	4369	12.5	14	8
8.1.2	2017	279	18	4369	12.5	21	9
8.2.1	2017	168	14	4378	9	26	2
8.2.2	2017	218	19	4375	18.7	41	5
8.2.2	2017	231	13	4375	18.7	23.5	6
8.2.2	2017	248	17	4375	18.7	24.5	7
8.2.2	2017	279	31	4375	18.7	22.8	9
8.3.1	2017	168	22	4380	33	33	2
8.3.1	2017	199	31	4380	33	36	4
8.3.1	2017	218	19	4378	33	19.5	5
8.3.1	2017	231	13	4380	33	14.7	6
8.3.1	2017	248	17	4377	33	19.8	7
8.3.2	2017	261	13	4377	23	13	8
8.3.2	2017	279	18	4378	23	16	9
8.4.2	2017	199	33	4378	24.5	55	4
8.4.2	2017	218	19	4376	24.5	31.5	5
8.4.2	2017	231	13	4378	24.5	20.5	6
8.4.2	2017	248	17	4375	24.5	22.7	7
8.4.2	2017	261	13	4378	24.5	6.3	8
8.4.2	2017	279	18	4375	24.5	19.5	9
8.5.2	2017	199	33	4364	4	68	4
8.5.2	2017	218	19	4364	4	35.5	5
8.5.2	2017	231	13	4364	4	28.5	6
8.5.2	2017	248	17	4364	4	25	7
8.5.2	2017	261	13	4363	4	8	8
8.5.2	2017	279	18	4364	4	16.5	9
10.1.1	2017	183	15	4563	6	30	3
10.1.1	2017	198	15	4564	6	36	4
10.1.1	2017	217	19	4565	6	30	5
10.1.1	2017	230	13	4564	6	20	6
10.1.1	2017	247	17	4563	6	22	7
10.1.1	2017	261	14	4563	6	13	8
10.1.1	2017	279	18	4563	6	17	9
10.2.3	2017	217	19	4620	3.5	64	5
10.2.3	2017	230	13	4618	3.5	46	6
10.2.3	2017	247	17	4617	3.5	41	7
10.2.3	2017	261	14	4616	3.5	24	8
10.2.3	2017	279	18	4616	3.5	22	9
10.2.4	2017	296	19	4616	4	9	10
10.3.3	2017	183	15	4560	6	64	3
10.3.3	2017	198	15	4560	6	64	4
10.3.4	2017	230	13	4558	4	63	6
10.3.4	2017	247	17	4559	4	57	7
10.3.4	2017	261	14	4558	4	61	8
10.3.5	2017	296	19	4557	1.5	31	10
10.5.2	2017	230	13	4562	4	60.5	6
10.5.2	2017	247	17	4562	4	45.5	7
10.5.2	2017	261	14	4561	4	31	8
10.5.2	2017	279	18	4561	4	32.5	9
