jd1,jd2,Observed Melt,Model-3,Model-2,Model-1
155,168,2.455038107,2.347713752,2.341306503,2.291832316
169,181,2.914366193,2.530793214,2.520782352,2.498776012
182,199,4.299495308,3.84967459,3.832769335,3.818561629
200,215,3.501730212,3.632621061,3.60658019,3.639783232
216,230,3.603810545,3.578003078,3.555193904,3.639269691
231,247,2.91530994,3.031057452,3.015639004,3.071794449
248,261,1.865079041,2.019492154,2.003786153,2.055212709
262,275,1.577715273,1.94876012,1.933482909,1.987044296
276,296,1.809532443,1.788141599,1.778917578,1.844449093
