Year,Julian Day,obs_period(days),elevation(m),debris_thickness(cm),melt(cm),PDD
2017,274,12,4121,55,6,77.0261687
2017,297,23,4121,55,8,87.70211374
2017,168,22,4268,6,61,92.46400918
2017,246,47,4264,6.5,144.5,373.0412105
2017,280,34,4263,6.5,72.5,188.2397949
2017,180,14,4279,65,10,95.51508447
2017,199,19,4279,65,15,150.9986503
2017,216,17,4280,65,13.5,139.9077154
2017,230,14,4280,65,11.5,125.2621028
2017,262,32,4279,65,14,192.683236
2017,280,18,4279,65,9,95.99363367
2017,168,22,4274,39,9,91.92384584
2017,180,12,4274,39,9,84.50107329
2017,199,19,4274,39,21.5,151.4787173
2017,216,17,4272,39,17,140.5787765
2017,230,14,4272,39,17,125.850765
2017,246,16,4272,39,8,104.6170904
2017,262,16,4271,39,9,89.58953704
2017,280,18,4274,39,10,96.5487059
2017,180,14,4262,31,21,96.88939448
2017,199,19,4262,31,36,152.6308781
2017,216,17,4263,31,22,141.3337202
2017,230,14,4263,31,21,126.51301
2017,246,16,4262,31,19,105.5356595
2017,262,16,4262,31,10.5,90.57997927
2017,280,18,4262,31,12.8,97.88087926
2017,168,12,4321,44,12,58.38096195
2017,218,19,4318,17.5,46.5,154.3330038
2017,230,12,4318,17.5,29,104.8531285
2017,248,18,4317,17.5,21,112.556638
2017,261,13,4317,17.5,12,65.69972417
2017,279,18,4317,17.5,25.5,93.75701199
2017,199,33,4319,12.5,77,239.4395283
2017,218,19,4319,12.5,38,154.2400061
2017,230,12,4319,12.5,24,104.7886608
2017,248,18,4318,12.5,25,112.4521562
2017,261,13,4318,12.5,16,65.6091409
2017,279,18,4319,12.5,20,93.5335587
2017,168,12,4317,11,40,58.67881071
2017,218,19,4315,9,51,154.611997
2017,230,12,4315,9,26,105.0465316
2017,248,18,4314,9,41.5,112.8700833
2017,261,13,4314,9,22.5,65.97147395
2017,279,18,4314,9,21,94.09219192
2017,168,12,4336,32,25,57.26402911
2017,199,31,4336,32,35.5,225.7850764
2017,218,19,4333,32,23,152.9380382
2017,230,12,4333,32,16,103.8861129
2017,248,18,4331,32,19,111.0938933
2017,261,13,4332,32,9,64.34097526
2017,199,33,4326,20,47,238.2015421
2017,218,19,4326,20,31.5,153.5890222
2017,230,12,4326,20,19.5,104.3373868
2017,248,18,4326,20,20,111.6163021
2017,261,13,4325,20,6,64.97505808
2017,296,18,4479,13,10,36.0275678
2017,183,16,4475,8.6,34.6,94.27515193
2017,198,15,4476,8.6,33,108.2326215
2017,217,19,4476,8.6,27,136.8434683
2017,230,13,4476,8.6,21,103.1695347
2017,247,17,4475,8.6,23.7,90.9049176
2017,261,14,4475,8.6,11.3,56.55241491
2017,279,18,4475,8.6,8.5,76.2403306
2017,296,17,4475,8.6,3.5,32.04439011
2017,183,16,4474,3.8,57.8,94.36715908
2017,198,15,4474,3.8,57,108.3784343
2017,217,19,4475,3.8,61.5,136.9369036
2017,230,13,4473,3.8,34,103.3764213
2017,247,17,4473,3.8,38,91.10120479
2017,261,14,4472,3.8,23,56.84027864
2017,279,18,4473,3.8,24,76.45831111
2017,296,18,4472,7,18,36.43865351
2017,183,16,4489,5,31,92.98705196
2017,198,15,4489,5,37,107.2848389
2017,217,19,4488,5.5,59,135.7222444
2017,230,13,4486,5.5,27,102.4799128
2017,247,17,4486,5.5,27,89.82533807
2017,261,14,4485,5.5,22,55.59547524
2017,279,18,4485,5.5,10,75.15470493
2017,183,16,4593,14,24,83.51150336
2017,198,15,4590,14,26,99.9212964
2017,217,19,4591,14,30,126.098406
2017,230,13,4589,14,18,95.3768075
2017,247,17,4589,14,23,79.71654797
2017,261,14,4588,14,8,46.02597635
2017,279,18,4589,14,9,64.25095181
2017,168,14,4372,15,16,73.53410507
2017,231,13,4369,12.5,29,108.8099975
2017,248,17,4369,12.5,26.5,99.8788641
2017,261,13,4369,12.5,14,60.98939463
2017,279,18,4369,12.5,21,87.94722655
2017,168,14,4378,9,26,73.03160758
2017,218,19,4375,18.7,41,149.0321345
2017,231,13,4375,18.7,23.5,108.3905913
2017,248,17,4375,18.7,24.5,99.28457344
2017,279,31,4375,18.7,22.8,147.7237259
2017,168,22,4380,33,33,82.39267904
2017,199,31,4380,33,36,218.5501179
2017,218,19,4378,33,19.5,148.7531414
2017,231,13,4380,33,14.7,108.0410862
2017,248,17,4377,33,19.8,99.08647656
2017,261,13,4377,23,13,60.26472855
2017,279,18,4378,23,16,86.94351478
2017,199,33,4378,24.5,55,229.0050736
2017,218,19,4376,24.5,31.5,148.9391368
2017,231,13,4378,24.5,20.5,108.1808882
2017,248,17,4375,24.5,22.7,99.28457344
2017,261,13,4378,24.5,6.3,60.17414528
2017,279,18,4375,24.5,19.5,87.2778308
2017,199,33,4364,4,68,231.4810459
2017,218,19,4364,4,35.5,150.0551093
2017,231,13,4364,4,28.5,109.1595026
2017,248,17,4364,4,25,100.3741063
