2.4.2	2017	170	13	3950	10	42	93.95498031	2	2.046657952	1.997251326	1.989402648	3.230769231
2.4.2	2017	184	14	3951	10	21	126.6947918	3	2.562710451	2.500846242	2.491018568	1.5
2.4.2	2017	202	18	3951	10	36	174.5096229	4	2.74546359	2.679187693	2.668659183	2
2.4.2	2017	215	13	3950	10	19	127.6668176	5	2.781016041	2.713881903	2.703217054	1.461538462
2.4.2	2017	232	17	3950	10	41	179.0286733	6	2.982239276	2.910247579	2.898811063	2.411764706
2.4.2	2017	250	18	3949	10	26	147.0415241	7	2.31332315	2.257479188	2.248607882	1.444444444
2.4.2	2017	263	13	3949	10	12	102.4853358	8	2.23247801	2.178585661	2.170024386	0.9230769231
2.4.2	2017	273	10	3950	10	12	73.97237155	9	2.094779697	2.044211405	2.036178187	1.2
2.4.2	2017	298	25	3950	10	17	116.3921887	10	1.318416531	1.286589761	1.281533798	0.68
2.5.1	2017	170	13	3947	55	7	94.20023786	2	0.6239859561	0.6723570435	0.6935540555	0.5384615385
2.5.1	2017	184	14	3946	55	3	127.0883781	3	0.7817069438	0.8423044852	0.8688593321	0.2142857143
2.5.1	2017	202	18	3946	55	5	174.9602796	4	0.8370147806	0.9018997586	0.9303334311	0.2777777778
2.5.2	2017	298	25	3945	67.5	8.5	117.0667323	10	0.3379143564	0.3742919883	0.3927363333	0.34
3.1.3	2017	170	28	3986	11	72	146.9855426	2	1.414627329	1.378928587	1.369537105	2.571428571
3.1.4	2017	215	13	3979	19	30	125.8729814	5	1.880995086	1.848860489	1.821618719	2.307692308
3.1.4	2017	232	17	3979	19	34.9	176.4305719	6	2.016152668	1.981709062	1.952509854	2.052941176
3.1.4	2017	250	18	3978	19	26.1	143.9266936	7	1.553342904	1.526805861	1.504309359	1.45
3.1.4	2017	263	13	3978	19	13	99.86477432	8	1.492338925	1.466844063	1.44523106	1
3.1.4	2017	273	10	3978	19	10	72.16938384	9	1.402011229	1.378059509	1.357754689	1
3.1.4	2017	298	25	3979	19	16	112.4926554	10	0.8741433423	0.8592096274	0.8465497264	0.64
3.2.3	2017	170	13	4007	46	14	89.29508684	2	0.6871307404	0.7244261316	0.7375714149	1.076923077
3.2.3	2017	184	14	4008	46	18	122.2079081	3	0.8732255631	0.920621622	0.9373270271	1.285714286
3.2.3	2017	202	18	4008	46	20	169.3721364	4	0.9412925621	0.9923830931	1.010390667	1.111111111
3.2.3	2017	215	13	4007	46	18	124.1410016	5	0.955272024	1.007121318	1.025396328	1.384615385
3.3.2	2017	215	13	3995	40	15	124.8832787	5	1.077083952	1.118146461	1.128371125	1.153846154
3.3.2	2017	232	17	3995	40	20	174.9971367	6	1.154172272	1.198173679	1.209130136	1.176470588
3.3.2	2017	250	18	3994	40	14	142.2081665	7	0.8858101395	0.9195805679	0.9279894869	0.7777777778
3.3.2	2017	263	13	3994	40	7.5	98.41894726	8	0.8488363675	0.8811972161	0.8892551463	0.5769230769
3.3.2	2017	273	10	3994	40	5.5	71.13910514	9	0.797621796	0.8280301516	0.8356019063	0.55
3.3.2	2017	298	25	3995	40	17	110.3595139	10	0.4949466458	0.5138158814	0.5185143671	0.68
3.4.2	2017	215	13	3989	34	17	125.2544172	5	1.228732723	1.255293114	1.255779594	1.307692308
3.4.2	2017	232	17	3989	34	21	175.5346749	6	1.316805779	1.345269965	1.345791315	1.235294118
3.4.2	2017	250	18	3988	34	18	142.8526142	7	1.012099973	1.033977612	1.034378323	1
3.4.2	2017	263	13	3988	34	9.5	98.96113241	8	0.9707983511	0.9917832107	0.9921675698	0.7307692308
3.4.2	2017	273	10	3988	34	5.5	71.52545965	9	0.9121544547	0.9318716629	0.9322328037	0.55
3.4.2	2017	298	25	3988	34	15	111.2921542	10	0.5677174798	0.5799893091	0.5802140801	0.6
3.5.2	2017	215	13	3987	25	18	125.37813	5	1.549291047	1.544925172	1.52817322	1.384615385
3.5.2	2017	232	17	3987	25	26.5	175.7138543	6	1.660395926	1.65571696	1.637763669	1.558823529
3.5.2	2017	250	18	3986	25	15	143.0674301	7	1.276799919	1.273201919	1.25939632	0.8333333333
3.5.2	2017	263	13	3986	25	10.5	99.14186079	8	1.22509083	1.221638546	1.208392059	0.8076923077
3.5.2	2017	273	10	3987	25	10	71.58985207	9	1.150021714	1.146780973	1.134346183	1
3.5.2	2017	298	25	3987	25	11	111.4255433	10	0.7159774216	0.7139598101	0.706218192	0.44
11.1.2	2017	215	14	4032	24	32	132.3953658	5	1.564273077	1.555843247	1.537498984	2.285714286
11.1.2	2017	232	17	4031	24	36.5	171.7719073	6	1.671363983	1.662357042	1.642756922	2.147058824
11.1.2	2017	250	18	4031	24	27	138.2340725	7	1.270312057	1.263466376	1.2485694	1.5
11.1.2	2017	263	13	4030	24	13.5	95.1658364	8	1.21089236	1.20436689	1.19016673	1.038461538
11.1.2	2017	273	10	4031	24	10	68.75658567	9	1.137318555	1.131189573	1.117852215	1
11.1.2	2017	297	24	4030	24	22	104.2856538	10	0.718755447	0.7148820912	0.706453231	0.9166666667
11.2.2	2017	215	14	4037	35	16	132.0599359	5	1.176024861	1.204695907	1.206877179	1.142857143
11.2.2	2017	232	17	4037	35	20	171.2343691	6	1.255785526	1.286401106	1.288730318	1.176470588
11.2.2	2017	250	18	4036	35	15.5	137.6970328	7	0.9537301963	0.976981781	0.978750745	0.8611111111
11.2.2	2017	263	13	4036	35	7.5	94.62365125	8	0.9074648382	0.9295884908	0.9312716425	0.5769230769
11.2.2	2017	273	10	4037	35	5	68.37023116	9	0.8523942368	0.8731752887	0.8747562964	0.5
11.2.2	2017	297	24	4036	35	10	103.5066168	10	0.5376879804	0.5507966118	0.5517939071	0.4166666667
11.3.2	2017	184	14	4044	30	21	119.3740869	3	1.197064472	1.209742939	1.203638321	1.5
11.3.2	2017	201	17	4044	30	22	156.3893882	4	1.291498404	1.305177049	1.298590851	1.294117647
11.3.2	2017	215	14	4043	30	19	131.65742	5	1.320239795	1.334222849	1.327490079	1.357142857
11.3.2	2017	232	17	4044	30	24.5	170.6072412	6	1.408912601	1.423834815	1.416649844	1.441176471
11.3.2	2017	250	18	4043	30	21.2	136.9451772	7	1.068094679	1.079407189	1.073960273	1.177777778
11.3.2	2017	263	13	4043	30	9.3	93.99110192	8	1.015030058	1.025780545	1.02060424	0.7153846154
11.3.2	2017	273	10	4043	30	9	67.98387665	9	0.9544241948	0.9645327866	0.9596655507	0.9
11.3.2	2017	297	24	4043	30	9	102.5988141	10	0.6001594015	0.606515869	0.603455262	0.375
11.4.2	2017	215	14	4051	39	15	131.1207322	5	1.0716821	1.109609321	1.118105573	1.071428571
11.4.2	2017	232	17	4051	39	22.5	169.9801133	6	1.144120691	1.184611541	1.193682083	1.323529412
11.4.2	2017	250	18	4050	39	14.5	136.1933216	7	0.8657768191	0.8964169776	0.9032808209	0.8055555556
11.4.2	2017	263	13	4050	39	10	93.35855258	8	0.8217380633	0.8508196742	0.8573343801	0.7692307692
11.4.2	2017	273	10	4050	39	6	67.53312973	9	0.7727509073	0.8000988447	0.8062251824	0.6
11.4.2	2017	297	24	4050	39	17	101.6933937	10	0.484846367	0.5020052574	0.5058490996	0.7083333333
4.1.2	2017	184	14	4145	14	32	111.4236438	3	1.872832521	1.826368307	1.803502776	2.285714286
4.1.2	2017	201	17	4145	14	37	147.814308	4	2.046054389	1.995292611	1.970312204	2.176470588
4.1.2	2017	215	14	4144	14	27	124.8817363	5	2.099039028	2.046962723	2.021335422	1.928571429
4.1.2	2017	232	17	4144	14	35	161.6482709	6	2.237544922	2.182032341	2.154714013	2.058823529
4.1.2	2017	248	16	4144	14	28	113.9924329	7	1.676508119	1.634914634	1.61444604	1.75
4.1.2	2017	262	14	4144	14	14.8	89.26035373	8	1.500307184	1.463085173	1.444767827	1.057142857
4.1.2	2017	274	12	4144	14	11	75.26364753	9	1.475888799	1.439272598	1.421253378	0.9166666667
4.1.2	2017	297	23	4144	14	15.5	83.99000398	10	0.8593090522	0.8379899438	0.8274985851	0.6739130435
4.2.2	2017	184	14	4148	16	30	111.1874921	3	1.723217984	1.684516215	1.660461823	2.142857143
4.2.2	2017	199	15	4147	16	32	130.8836697	4	1.893243714	1.850723336	1.824295555	2.133333333
